Village,Latitude,Longitude,Feature_ID,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI,SWIR_Ratio,Elevation_m,Slope_deg,Aspect_deg,Hillshade,Soil_Moisture_0_7cm,Soil_Temp_0_7cm_K,LST_K,Precipitation_Mean_m,Clay_Fraction_g_kg,Silt_Fraction_g_kg,Sand_Fraction_g_kg
Jorepalle,14.155,79.595,28_515_shc_2025-26.2284,151.0,18.4,136.6,0.46,0.0583500005304813,0.0447250008583068,0.0648166686296463,0.0604749992489814,0.1115999966859817,0.225150004029274,0.2639875113964081,0.2619000077247619,0.2977833449840545,0.3666499853134155,0.2254499942064285,0.136350005865097,0.624815821647644,0.4024096727371216,0.3905666953873083,0.3673962731740914,0.860824704170227,58,2,116,174,0.1918115448533442,303.7188754834627,302.9800456197638,0.0007555945000877,331,273,396
Jorepalle Akkamambapuram,14.155398,79.594032,28_515_shc_2025-26.2313,50.0,11.5,204.8,0.25,0.0840769261121749,0.094760000705719,0.1260833293199539,0.159850001335144,0.209525004029274,0.251714289188385,0.279449999332428,0.2640833258628845,0.3046300113201141,0.3147400021553039,0.3702499866485595,0.320250004529953,0.2458719760179519,0.1151971295475959,0.1722883858586746,0.1692221529293313,1.402019500732422,59,1,0,180,0.1918115448533442,303.7188754834627,302.9800456197638,0.0007555945000877,331,271,398
Jorepalle Akkamambapuram,14.155667,79.594586,28_515_shc_2025-26.2263,100.0,19.2,105.5,0.48,0.062899999320507,0.0516249984502792,0.0750111117959022,0.0812333300709724,0.1466708332300186,0.2520250082015991,0.2921499907970428,0.2939000129699707,0.330866664648056,0.349824994802475,0.3052999973297119,0.2022500038146972,0.5669095516204834,0.3341782093048095,0.3813657113995688,0.3645159070731155,1.038788676261902,60,3,303,189,0.1918115448533442,303.7188754834627,302.9800456197638,0.0007555945000877,331,273,396
Jorepalle,14.15574,79.593975,28_515_shc_2025-26.2261,125.0,30.0,105.5,0.25,0.0793600007891655,0.1628199964761734,0.2060000002384185,0.2581374943256378,0.2357500046491623,0.278983324766159,0.3100166618824005,0.3476392924785614,0.3403375148773193,0.3193714320659637,0.3989000022411346,0.3465666770935058,0.1477471590042114,0.1917918026447296,0.1335597131859124,0.1214103052546332,1.147453784942627,58,1,46,177,0.1918115448533442,303.7188754834627,302.9800456197638,0.0007555945000877,331,271,398
Jorepalle,14.15574,79.593975,28_515_shc_2025-26.2267,163.0,10.0,49.7,0.27,0.0793600007891655,0.1628199964761734,0.2060000002384185,0.2581374943256378,0.2357500046491623,0.278983324766159,0.3100166618824005,0.3476392924785614,0.3403375148773193,0.3193714320659637,0.3989000022411346,0.3465666770935058,0.1477471590042114,0.1917918026447296,0.1335597131859124,0.1214103052546332,1.147453784942627,58,1,46,177,0.1918115448533442,303.7188754834627,302.9800456197638,0.0007555945000877,331,271,398
Jorepalle Akkamambapuram,14.15574,79.593975,28_515_shc_2025-26.2315,50.0,18.4,372.4,0.11,0.0793600007891655,0.1628199964761734,0.2060000002384185,0.2581374943256378,0.2357500046491623,0.278983324766159,0.3100166618824005,0.3476392924785614,0.3403375148773193,0.3193714320659637,0.3989000022411346,0.3465666770935058,0.1477471590042114,0.1917918026447296,0.1335597131859124,0.1214103052546332,1.147453784942627,58,1,46,177,0.1918115448533442,303.7188754834627,302.9800456197638,0.0007555945000877,331,271,398
Thatipalle,14.156444,79.59325,28_515_shc_2025-26.9401,13.0,0.8,49.7,0.2,0.0604625009000301,0.0717615410685539,0.0992777794599533,0.1090874969959259,0.1600749939680099,0.2559666633605957,0.2990500032901764,0.2864400148391723,0.3296666741371155,0.3469125032424927,0.2851499915122986,0.176949992775917,0.4483948945999145,0.2830028533935547,0.3160792783279362,0.2970637677224773,0.9954963326454164,59,3,19,177,0.1918115448533442,303.7188754834627,302.9800456197638,0.0007555945000877,331,271,398
Jorepalle,14.158,79.592,28_515_shc_2025-26.2057,100.0,3.1,273.1,0.34,0.0533600002527236,0.0650250017642974,0.09375,0.0991000011563301,0.1648000031709671,0.2753666639328003,0.3359708189964294,0.3551666736602783,0.3824999928474426,0.3794299960136413,0.2065999954938888,0.1201499998569488,0.5636923909187317,0.3661132156848907,0.4378467975938312,0.4025080398304163,0.5816987156867981,54,1,270,183,0.1918115448533442,303.7188754834627,302.9800456197638,0.0007555945000877,336,264,399
Jorepalle,14.158,79.592,28_515_shc_2025-26.2254,50.0,10.8,49.7,0.41,0.0533600002527236,0.0650250017642974,0.09375,0.0991000011563301,0.1648000031709671,0.2753666639328003,0.3359708189964294,0.3551666736602783,0.3824999928474426,0.3794299960136413,0.2065999954938888,0.1201499998569488,0.5636923909187317,0.3661132156848907,0.4378467975938312,0.4025080398304163,0.5816987156867981,54,1,270,183,0.1918115448533442,303.7188754834627,302.9800456197638,0.0007555945000877,336,264,399
Molakalapundla,14.162,79.742,28_515_shc_2025-26.2177,176.0,4.6,614.5,0.22,0.0445600003004074,0.0560214295983314,0.0836428552865982,0.0836666673421859,0.1185199990868568,0.2128714323043823,0.2552714347839355,0.263616681098938,0.2854500114917755,0.2787833213806152,0.2365571409463882,0.142383337020874,0.5181648135185242,0.3796983957290649,0.3343662272927576,0.3185770393478759,0.8973526954650879,19,3,19,177,0.2105170132821066,303.8115975229364,303.0659317217375,0.0008190243098064,313,334,353
Molakalapundla,14.162,79.742,28_515_shc_2025-26.2080,138.0,19.2,391.1,0.08,0.0445600003004074,0.0560214295983314,0.0836428552865982,0.0836666673421859,0.1185199990868568,0.2128714323043823,0.2552714347839355,0.263616681098938,0.2854500114917755,0.2787833213806152,0.2365571409463882,0.142383337020874,0.5181648135185242,0.3796983957290649,0.3343662272927576,0.3185770393478759,0.8973526954650879,19,3,19,177,0.2105170132821066,303.8115975229364,303.0659317217375,0.0008190243098064,313,334,353
Molakalapundla,14.162,79.742,28_515_shc_2025-26.2207,138.0,25.3,335.2,0.11,0.0445600003004074,0.0560214295983314,0.0836428552865982,0.0836666673421859,0.1185199990868568,0.2128714323043823,0.2552714347839355,0.263616681098938,0.2854500114917755,0.2787833213806152,0.2365571409463882,0.142383337020874,0.5181648135185242,0.3796983957290649,0.3343662272927576,0.3185770393478759,0.8973526954650879,19,3,19,177,0.2105170132821066,303.8115975229364,303.0659317217375,0.0008190243098064,313,334,353
Kambhalapalle,14.171031,79.557042,28_515_shc_2025-26.575,50.0,19.2,105.5,0.31,0.0554499998688697,0.0659999996423721,0.0965000018477439,0.0829000025987625,0.1421999931335449,0.2823500037193298,0.3252499997615814,0.3378500044345855,0.3568499982357025,0.3470000028610229,0.2558499872684479,0.1577499955892563,0.6059417724609375,0.4075617492198944,0.475564255765561,0.4153407546375221,0.7572886943817139,68,4,116,168,0.1918115448533442,303.7188754834627,302.9800456197638,0.0007555945000877,345,255,401
