Feature,RFE_Rank
Latitude,1
Longitude,2
Clay_Fraction_g_kg,3
Elevation_m,4
Cumulative_Integral_NDVI,5
Soil_Moisture_0_7cm,6
Silt_Fraction_g_kg,7
Clay_Ratio,8
B9,9
Sand_Fraction_g_kg,10
B11,11
NDRE,12
VPD_kpa,13
TWI,14
B1,15
B7,16
EVI,17
Aridity_Index,18
B2,19
B12,20
Terrain_Curvature,21
Aspect_Cos,22
OC_Index,23
LST_K,24
Aspect_Sin,25
B5,26
B8,27
BSI,28
B3,29
PET_mm,30
NDVI,31
B6,32
Hillshade,33
Soil_Temp_0_7cm_K,34
B4,35
B8A,36
Precipitation_Mean_m,37
SAVI,38
Slope_deg,39
