Feature,RFE_Rank
Latitude,1
Longitude,2
Sand_Fraction_g_kg,3
Cumulative_Integral_NDVI,4
Clay_Fraction_g_kg,5
LST_K,6
Elevation_m,7
B11,8
B9,9
Aridity_Index,10
Silt_Fraction_g_kg,11
B1,12
Soil_Moisture_0_7cm,13
TWI,14
B4,15
VPD_kpa,16
B2,17
Precipitation_Mean_m,18
B8,19
B12,20
Terrain_Curvature,21
Clay_Ratio,22
PET_mm,23
B3,24
BSI,25
B6,26
NDVI,27
Aspect_Cos,28
B5,29
Soil_Temp_0_7cm_K,30
B7,31
Aspect_Sin,32
EVI,33
Hillshade,34
NDRE,35
B8A,36
OC_Index,37
SAVI,38
Slope_deg,39
