Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.205787,79.566898,28_515_shc_2025-26.5023,Raviguntapalle,113.0,12.3,620.7,0.56
14.205787,79.566898,28_515_shc_2025-26.5215,Raviguntapalle,88.0,3.8,403.5,0.3
14.212,79.502,28_515_shc_2025-26.5243,Pangili,88.0,14.6,173.8,0.35
14.212,79.528,28_515_shc_2025-26.10925,Rapur,138.0,13.1,335.2,0.63
14.212,79.528,28_515_shc_2025-26.10926,Rapur,226.0,20.7,378.6,0.44
14.215615,79.499067,28_515_shc_2025-26.5445,Pangili,75.0,6.9,49.7,0.13
14.216311,79.497769,28_515_shc_2025-26.6902,Pangili,188.0,13.1,80.7,0.43
14.216311,79.497769,28_515_shc_2025-26.6901,Pangili,151.0,3.8,74.5,0.13
14.217731,79.496878,28_515_shc_2025-26.2231,Pangili,201.0,23.0,27.31,0.56
14.217731,79.496878,28_515_shc_2025-26.2351,Pangili,100.0,6.1,155.2,0.25
14.218321,79.500052,28_515_shc_2025-26.1813,Pangili,138.0,9.2,155.2,0.25
14.219931,79.493345,28_515_shc_2025-26.1481,Pangili,151.0,17.7,93.1,0.25
14.222,79.492,28_515_shc_2025-26.4498,Pangili,138.0,8.4,74.5,0.45
14.222,79.598,28_515_shc_2025-26.2053,Veerayapalem,50.0,12.3,415.9,0.38
14.223711,79.490278,28_515_shc_2025-26.4506,Pangili,151.0,7.7,111.7,0.25
14.225,79.595,28_515_shc_2025-26.2126,Veerayapalem,75.0,5.4,403.5,0.43
14.228,79.568,28_515_shc_2025-26.9298,Bojjanapalle,201.0,0.8,620.7,0.25
14.228,79.572,28_515_shc_2025-26.4814,Bojjanapalle,201.0,0.8,620.7,0.25
14.235,79.605,28_515_shc_2025-26.2061,Gilakapadu,50.0,19.2,620.7,0.33
14.255,79.595,28_515_shc_2025-26.4855,Gandurupalle,75.0,3.8,620.7,0.46
14.255,79.595,28_515_shc_2025-26.4904,Gandurupalle,213.0,23.0,620.7,0.34
14.262,80.058,28_515_shc_2025-26.7496,Narikellapalle,226.0,21.1,77.3,0.47
14.265,79.735,28_515_shc_2025-26.2074,Orupalle @ Turimerla,226.0,11.5,298.0,0.44
14.268,79.578,28_515_shc_2025-26.11193,Nellepalle,113.0,44.54,322.8,0.26
14.268,79.602,28_515_shc_2025-26.1496,Vepinapiakkmambapuram,75.0,23.8,571.1,0.33
14.268,79.602,28_515_shc_2025-26.11123,Nayanipalle,88.0,11.5,440.7,0.34
14.268,79.602,28_515_shc_2025-26.11671,Vepinapiakkmambapuram,138.0,16.9,515.2,0.47
14.268,79.602,28_515_shc_2025-26.11117,Munagala Venkatapuram,138.0,4.6,571.1,0.34
14.268,79.602,28_515_shc_2025-26.11108,Munagala Venkatapuram,188.0,14.6,521.4,0.2
14.268,79.602,28_515_shc_2025-26.7049,Vepinapiakkmambapuram,125.0,24.6,595.9,0.26
14.268,79.602,28_515_shc_2025-26.8306,Vepinapiakkmambapuram,213.0,43.78,620.7,0.23
14.272,79.618,28_515_shc_2025-26.4911,Sankurathripalle,201.0,2.3,521.4,0.34
14.275,79.845,28_515_shc_2024-25.9807,Vadlapudi,176.0,14.7,147.5,0.5
14.276189,80.046718,28_515_shc_2025-26.8875,Krishnapatnam,289.0,12.3,168.6,0.18
14.276189,80.046718,28_515_shc_2025-26.8871,Krishnapatnam,213.0,1.8,154.5,0.92
14.276632,80.088457,28_515_shc_2025-26.2691,Muthukur,100.0,19.4,70.2,0.13
14.276664,80.094731,28_515_shc_2025-26.7432,Muthukur,63.0,16.4,154.5,0.9
14.276761,80.102039,28_515_shc_2025-26.7313,Muthukur,226.0,2.9,35.1,0.71
14.276955,80.083919,28_515_shc_2025-26.7466,Muthukur,201.0,0.6,56.2,0.9
14.27705,80.08013,28_515_shc_2025-26.2542,Muthukur,213.0,28.8,91.3,1.15
14.277084,80.098268,28_515_shc_2025-26.7426,Muthukur,263.0,6.5,203.7,0.91
14.278,79.738,28_515_shc_2025-26.4195,Griddalur,213.0,7.7,223.5,0.11
14.278,79.742,28_515_shc_2025-26.5405,Orupalle @ Turimerla,63.0,1.5,279.3,0.1
14.278,79.828,28_515_shc_2024-25.984,Akkampeta,113.0,6.1,347.6,0.12
14.278858,80.082348,28_515_shc_2025-26.5802,Muthukur,213.0,38.77,182.6,0.29
14.278858,80.082348,28_515_shc_2025-26.7498,Muthukur,125.0,2.9,154.5,0.91
14.281128,80.081286,28_515_shc_2025-26.9807,Muthukur,176.0,14.7,147.5,0.5
14.28184,80.049233,28_515_shc_2025-26.5768,Narikellapalle,439.0,6.5,35.1,0.06
14.283765,80.051839,28_515_shc_2025-26.5565,Narikellapalle,301.0,29.4,35.1,0.12
14.283765,80.051839,28_515_shc_2025-26.5577,Narikellapalle,238.0,12.3,105.3,0.27
14.283765,80.051839,28_515_shc_2025-26.5767,Narikellapalle,276.0,37.59,35.1,0.06
14.285,80.085,28_515_shc_2025-26.8780,Muthukur,100.0,12.9,224.7,0.85
14.286568,80.097605,28_515_shc_2025-26.10633,Muthukur,25.0,15.3,133.4,0.98
14.287024,80.052716,28_515_shc_2025-26.5739,Narikellapalle,201.0,1.8,56.2,0.07
14.288,79.732,28_515_shc_2025-26.4203,Griddalur,238.0,19.2,273.1,0.18
14.288,79.732,28_515_shc_2025-26.5102,Orupalle,125.0,88.3,161.4,0.27
14.288,80.088,28_515_shc_2025-26.11286,Muthukur,151.0,2.9,77.3,1.08
14.290617,80.057937,28_515_shc_2025-26.2441,Narikellapalle,263.0,2.9,63.2,0.09
14.291693,80.056201,28_515_shc_2025-26.5825,Narikellapalle,276.0,7.0,56.2,0.14
14.292,79.502,28_515_shc_2025-26.4919,Akilavalasa,113.0,6.9,620.7,0.25
14.292,79.502,28_515_shc_2025-26.5088,Akilavalasa,138.0,5.4,620.7,0.44
14.292,79.502,28_515_shc_2025-26.5092,Akilavalasa,125.0,1.5,620.7,0.34
14.292,79.752,28_515_shc_2023-24.5034,Devaravemur,63.0,19.2,465.0,0.16
14.292,80.098,28_515_shc_2025-26.7408,Muthukur,263.0,2.3,217.7,0.23
14.292,80.098,28_515_shc_2025-26.165,Muthukur,176.0,12.3,91.3,1.06
14.292,80.102,28_515_shc_2025-26.11238,Muthukur,13.0,15.3,126.4,0.88
14.298,79.632,28_515_shc_2025-26.7030,Jorepalle Akkamambapuram,188.0,22.3,80.7,0.09
14.302,79.758,28_515_shc_2025-26.7074,Devaravemur,176.0,7.7,279.3,0.25
14.302,79.758,28_515_shc_2025-26.7063,Devaravemur,50.0,3.8,142.8,0.18
14.302,80.078,28_515_shc_2025-26.6031,Mollur,188.0,4.7,84.3,0.16
14.308,80.028,28_515_shc_2025-26.11488,Survepalle Bit - V,188.0,10.6,119.4,0.3
14.308,80.062,28_515_shc_2025-26.10649,Valluru,125.0,11.7,91.3,0.52
14.308,80.062,28_515_shc_2025-26.7443,Mollur,63.0,22.3,70.2,0.34
14.308,80.078,28_515_shc_2025-26.8811,Mollur,188.0,5.3,35.1,0.22
14.308,80.078,28_515_shc_2025-26.8810,Mollur,201.0,11.2,56.2,0.4
14.308,80.098,28_515_shc_2025-26.5650,Muthukur,151.0,12.9,49.2,0.49
14.309221,80.017049,28_515_shc_2025-26.136,Survepalle Bit - V,263.0,46.4,84.3,0.1
14.311743,80.022889,28_515_shc_2025-26.144,Survepalle Bit - V,489.0,4.1,49.2,0.27
14.311743,80.022889,28_515_shc_2025-26.237,Survepalle Bit - V,88.0,8.2,42.1,0.63
14.312,80.082,28_515_shc_2025-26.10632,Mollur,351.0,4.1,105.3,0.42
14.314718,80.031627,28_515_shc_2025-26.159,Survepalle Bit - V,213.0,20.6,70.2,0.97
