Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.142,79.848,28_515_shc_2024-25.5263,Cheekavolu,176.0,164.0,185.6,0.19
14.145,79.73,28_515_shc_2024-25.17989,Ananthamadugu,113.0,96.0,45.2,0.63
14.148,79.732,28_515_shc_2024-25.17981,Ananthamadugu,113.0,97.0,67.6,0.16
14.15,79.58,28_515_shc_2024-25.20016,Jorepalle,213.0,19.0,245.0,0.77
14.152696,79.703033,28_515_shc_2024-25.5699,Raganaramapuram,213.0,164.0,64.6,0.25
14.155,79.735,28_515_shc_2024-25.17963,Ananthamadugu,213.0,25.0,58.1,0.47
14.155,79.78,28_515_shc_2024-25.1567,Ramasagaram,301.0,66.0,12.9,0.39
14.158,79.592,28_515_shc_2024-25.19955,Jorepalle,100.0,19.0,303.0,0.64
14.16,79.735,28_515_shc_2024-25.9712,Molakalapundla,151.0,90.6,614.0,0.16
14.165,79.55,28_515_shc_2024-25.407,Siddavaram,176.0,1.0,167.0,0.87
14.165,79.65,28_515_shc_2024-25.3936,Molakalapundla,301.0,156.0,58.1,0.47
14.165,79.735,28_515_shc_2024-25.9815,Molakalapundla,364.0,38.2,58.7,0.16
14.165,79.89,28_515_shc_2024-25.12550,Venkanapalem,163.0,17.0,129.0,0.71
14.165,79.92,28_515_shc_2024-25.9453,Baddevolu,251.0,109.0,239.0,0.61
14.168,79.908,28_515_shc_2024-25.9036,Venkanapalem,213.0,80.0,400.0,0.85
14.172,79.912,28_515_shc_2024-25.9682,Baddevolu,100.0,25.0,181.0,0.56
14.172,79.918,28_515_shc_2024-25.5572,Baddevolu,251.0,43.0,420.0,0.99
14.173949,79.553736,28_515_shc_2024-25.871,Yepuru,201.0,3.0,103.0,0.83
14.175,79.43,28_515_shc_2024-25.1190,Molakalapundla,100.0,164.0,19.4,0.47
14.175,79.745,28_515_shc_2024-25.19985,Devaravemur,100.0,164.0,25.8,0.62
14.175,79.795,28_515_shc_2024-25.11819,Ramasagaram,176.0,164.0,19.4,0.31
14.175,79.9,28_515_shc_2024-25.1044,Venkanapalem,213.0,147.0,194.0,0.15
14.178,79.742,28_515_shc_2024-25.19035,Ananthamadugu,113.0,164.0,6.4,0.25
14.185,79.74,28_515_shc_2024-25.9687,Molakalapundla,213.0,38.2,25.8,0.63
14.185,79.93,28_515_shc_2024-25.9546,Pidurupalem,176.0,35.0,329.0,0.43
14.189896,79.787029,28_515_shc_2024-25.9746,Ramasagaram,113.0,92.0,25.8,0.18
14.19,79.785,28_515_shc_2024-25.11869,Ramasagaram,238.0,118.0,19.4,0.01
