Point_ID,Latitude,Longitude,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI
Point_22,15.179965,79.979697,289.0,7.6,28.1,0.11,605.0,429.0,652.5,599.5,1207.0,2413.0,2873.5,3372.0,3192.5,2949.5,2329.5,1553.5,0.6980989550547652,0.4728106573487661,1.847101932045303,1.0470166163141994
Point_23,15.18007,79.98011,289.0,7.6,28.1,0.11,485.5,486.5,757.5,795.5,1557.5,2245.5,2510.5,2489.0,2758.0,2926.0,2959.5,2245.5,0.5156035926320597,0.23019893735326827,1.1714048557792074,0.7732876712328767
Point_24,15.179504,79.980023,289.0,7.6,28.1,0.11,649.0,601.5,858.0,824.5,1237.0,2074.5,2391.5,2547.0,2609.5,2889.0,2458.0,1651.5,0.5109001927925256,0.34619450317124734,1.4432341851696688,0.7662366548042704
Point_25,15.179105,79.983391,188.0,48.8,35.1,0.18,533.0,602.0,922.0,1163.5,1557.5,2233.0,2472.5,2619.0,2726.0,2815.0,2828.0,2159.5,0.3847984137475215,0.2541601819705495,0.7154443570585922,0.5771213322759715
Point_26,15.178015,79.981479,188.0,66.4,63.2,0.27,310.5,369.0,571.0,427.0,968.0,2372.0,2940.0,3160.0,3184.5,3090.0,1800.5,1012.0,0.7619180373571229,0.5310077519379846,2.3117915750296056,1.1427177700348432
Point_27,15.165909,79.966458,163.0,8.8,35.1,0.48,476.5,580.5,853.0,833.0,1531.0,2402.0,2887.5,3100.5,3108.0,3154.0,2712.0,2003.0,0.5764586246345493,0.33887509446183744,1.5133818327437762,0.8645780376207424
Point_28,15.165288,79.966784,163.0,8.8,35.1,0.48,648.0,932.0,1233.5,1510.0,1848.5,2150.5,2314.0,2284.0,2505.0,2686.0,2973.0,2636.0,0.2040063257775435,0.10538415003024804,0.4443168771526981,0.30596916589801026
Point_29,15.164869,79.96711,163.0,8.8,35.1,0.48,648.0,448.5,665.0,645.5,1230.0,2150.5,2581.5,2629.5,2857.0,2686.0,2361.0,1657.0,0.6058015267175573,0.3626117372716673,1.5797436101600446,0.9085635780796825
Point_30,15.164408,79.967001,163.0,8.8,35.1,0.48,476.5,563.0,832.0,874.0,1410.5,2529.0,2983.0,3019.0,3286.0,3129.0,2460.5,1784.0,0.5509889545337786,0.36313353651653685,1.326858839539775,0.8263772954924875
Point_31,15.164869,79.966067,163.0,8.8,35.1,0.48,527.0,586.0,881.0,985.0,1318.5,2274.0,2765.0,2830.0,2959.0,2827.5,2455.0,1737.0,0.4836173001310616,0.3643485597203809,1.0613207547169812,0.7253308871707509
Point_32,15.165225,79.966067,163.0,8.8,35.1,0.48,527.0,597.0,894.5,1118.0,1429.0,2218.5,2511.5,2572.0,2758.0,2827.5,2620.0,1872.0,0.3940379403794038,0.2856785803549113,0.7567398771728948,0.5909768324075328
Point_33,15.126162,79.94613,201.0,12.3,49.2,0.29,328.5,410.5,691.0,577.5,1226.0,2120.0,2395.0,2229.5,2529.0,2350.5,2121.5,1221.5,0.5885286783042394,0.2904065981768196,1.5782936849144933,0.8826357969723954
Point_34,15.125683,79.945303,201.0,12.3,49.2,0.29,347.0,422.0,718.0,751.0,1371.5,2126.5,2355.5,2409.0,2480.5,2489.5,2539.5,1675.5,0.5246835443037975,0.274434598598069,1.1050386563583046,0.7869008068343616
Point_35,15.126508,79.944999,201.0,12.3,49.2,0.29,347.0,444.5,732.5,660.5,1246.5,2060.5,2273.5,2287.0,2462.0,2615.5,2267.0,1307.5,0.5518235793044953,0.29446724211122116,1.393864084325992,0.8275949796472184
Point_36,14.841834,79.587028,238.0,13.1,99.3,0.1,802.5,918.5,1179.0,1380.5,1468.5,1933.0,2158.5,2394.0,2292.5,2442.5,2453.5,2099.0,0.2685123857464565,0.2396116504854369,0.6686679422049219,0.40271523178807944
Point_37,14.784418,79.723288,113.0,14.6,229.7,0.14,598.5,598.0,922.0,1109.0,1583.0,2363.5,2619.5,2682.0,2877.5,2824.0,2649.5,1984.5,0.41493009759957794,0.25767878077373974,0.8104905193734542,0.6223130687063168
Point_38,15.142971,79.984281,100.0,14.7,42.1,0.62,603.0,749.0,1082.0,1295.0,1725.5,2728.5,3128.0,3226.5,3466.5,3367.5,2671.0,1815.5,0.4271812451620038,0.3031098546042003,0.8975371747211897,0.6407010172490049
Point_39,15.142955,79.984075,100.0,14.7,42.1,0.62,603.0,905.5,1313.0,1689.5,2055.0,2813.5,3295.5,3410.5,3631.0,3367.5,3030.0,1910.0,0.3374509803921569,0.24801024608910438,0.6367235191830996,0.5061268503087932
Point_40,15.143154,79.983554,100.0,14.7,42.1,0.62,637.5,725.0,1068.0,1252.5,1872.5,2716.5,3025.5,3112.5,3329.5,3371.5,2744.0,1723.5,0.4261168384879725,0.24874623871614845,0.8957811596994798,0.6391020501660749
Point_41,15.142536,79.983814,100.0,14.7,42.1,0.62,592.5,818.5,1214.0,1361.0,1931.0,2743.0,3206.5,3328.0,3595.5,3467.5,2918.0,1900.0,0.4194924290893581,0.2656398554858338,0.9180863477246208,0.6291715534705192
Point_42,15.142672,79.98351,100.0,14.7,42.1,0.62,592.5,804.5,1182.0,1349.0,1930.5,2748.0,3144.0,3242.0,3448.0,3467.5,2802.0,1856.0,0.4123284687431932,0.25355244079265343,0.892377315796917,0.6184253511924208
Point_43,15.142148,79.983532,100.0,14.7,42.1,0.62,592.5,750.5,1122.0,1290.0,1952.0,2800.5,3205.0,3298.0,3542.0,3467.5,2995.5,1947.0,0.43766346992153443,0.2563809523809524,0.9278683979483388,0.6564236678653155
Point_44,15.136464,79.986865,113.0,68.7,49.2,0.2,468.0,607.5,875.0,1107.5,1538.5,1933.5,2104.5,1996.0,2215.0,2217.5,2952.5,1992.0,0.28628967294989527,0.12943839298344886,0.5436578351587835,0.4293653350515464
Point_45,15.138871,79.981815,226.0,12.3,49.2,0.38,588.5,723.0,1121.0,1387.0,1917.0,2978.5,3314.0,3398.0,3670.5,3657.0,2646.0,1647.5,0.4202716823406479,0.2786453433678269,0.7982059220449312,0.6303416570891234
