Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.368,79.892,28_515_shc_2023-24.6035,Donthali,226.0,12.0,228.0,0.4
14.368,80.042,28_515_shc_2024-25.7634,Penubarthi,138.0,22.0,124.0,0.71
14.362,80.112,28_515_shc_2023-24.6333,Ananthapuram,213.0,62.0,150.0,0.52
14.385,79.415,28_515_shc_2023-24.6103,Tegacherla,151.0,17.0,195.0,0.25
14.388,79.438,28_515_shc_2023-24.5288,Tegacherla,163.0,85.0,52.0,0.67
14.388,79.642,28_515_shc_2023-24.6224,Vavintaparthi,75.0,29.0,52.0,0.32
14.388,79.642,28_515_shc_2023-24.6801,Uchapalle,88.0,27.0,39.0,0.4
14.385,79.645,28_515_shc_2023-24.6063,Vavintaparthi,138.0,14.0,169.0,0.93
14.388,79.718,28_515_shc_2023-24.5391,Podalakur,163.0,48.0,253.0,1.11
14.388,79.718,28_515_shc_2023-24.5805,Podalakur,100.0,68.0,110.0,0.43
14.382,79.728,28_515_shc_2023-24.6694,Prabagiripatnam,339.0,110.0,357.0,1.17
14.392,79.418,28_515_shc_2023-24.5547,Tegacherla,88.0,23.0,46.0,0.52
14.392,79.418,28_515_shc_2023-24.5694,Tegacherla,176.0,45.0,26.0,0.2
14.392,79.418,28_515_shc_2023-24.7046,Tegacherla,251.0,12.0,98.0,0.8
14.408,79.568,28_515_shc_2023-24.5106,Dachuru,176.0,14.0,169.0,0.32
14.408,79.802,28_515_shc_2023-24.6902,Marupuru,113.0,32.0,189.0,0.18
14.402,79.838,28_515_shc_2023-24.5214,Amancherla,138.0,105.0,143.0,0.36
14.418,79.588,28_515_shc_2023-24.6913,Nernoor,63.0,1.0,52.0,1.34
14.415,79.805,28_515_shc_2023-24.5811,Marupuru,125.0,3.0,176.0,0.42
14.418,80.028,28_515_shc_2023-24.7073,Chinna Cherukur,100.0,83.0,189.0,1.0
14.412,80.042,28_515_shc_2023-24.6721,Varigonda,188.0,54.0,143.0,0.38
14.418,80.082,28_515_shc_2025-26.6625,Peduru,25.0,53.0,650.0,1.42
14.412,80.158,28_515_shc_2023-24.6244,Koduru-I,113.0,79.0,422.0,0.64
14.422,79.392,28_515_shc_2024-25.5302,Garimenapenta,38.0,55.0,130.0,0.46
14.425,79.695,28_515_shc_2023-24.5813,Ravalla Yeruguntapalem,13.0,31.0,331.0,0.06
14.422,80.048,28_515_shc_2024-25.6475,Chinna Cherukur,63.0,68.0,59.0,0.24
14.428,80.092,28_515_shc_2023-24.5184,Peduru,100.0,12.0,176.0,0.82
14.428,80.092,28_515_shc_2023-24.6081,Peduru,151.0,10.0,189.0,0.31
14.438,79.532,28_515_shc_2024-25.7766,Kesamanenipalle,50.0,75.0,156.0,0.79
14.438,79.652,28_515_shc_2023-24.4867,Yeturu,88.0,3.0,46.0,1.2
14.448,79.522,28_515_shc_2023-24.5205,Kanupurupalle,125.0,6.0,39.0,0.23
14.445,79.595,28_515_shc_2023-24.5906,Chittaluru,50.0,7.0,85.0,0.58
14.442,80.098,28_515_shc_2025-26.7784,Mungaladoruvu,138.0,15.0,52.0,0.48
14.442,80.108,28_515_shc_2023-24.7184,Amulur (South),226.0,19.0,156.0,0.48
14.445,80.155,28_515_shc_2023-24.5712,Venkanapalem,100.0,7.0,189.0,0.32
14.458,79.572,28_515_shc_2023-24.5623,China Gopavaram,113.0,6.0,130.0,0.48
14.458,79.572,28_515_shc_2023-24.5768,China Gopavaram,151.0,7.0,169.0,0.52
14.452,80.038,28_515_shc_2023-24.5216,Allipuram (Part),213.0,9.0,130.0,1.08
14.452,80.038,28_515_shc_2023-24.5335,Allipuram (Part),163.0,98.0,403.0,1.25
14.452,80.038,28_515_shc_2023-24.6417,Allipuram (Part),188.0,43.0,91.0,1.1
14.465,79.375,28_515_shc_2023-24.6750,Madannagaripalle,125.0,25.0,91.0,0.38
14.468,80.038,28_515_shc_2023-24.5196,Inamadugu,188.0,34.0,137.0,1.33
14.468,80.112,28_515_shc_2023-24.6737,Indukurpet Bit - I,176.0,38.0,429.0,0.32
14.462,80.118,28_515_shc_2023-24.6876,Indukurpet Bit - I,138.0,36.0,423.0,0.18
14.462,80.142,28_515_shc_2023-24.7288,Indukurpet Bit - I,113.0,27.0,462.0,0.65
14.465,80.165,28_515_shc_2023-24.5829,Potlapudi,163.0,40.0,182.0,0.75
14.478,79.372,28_515_shc_2023-24.6420,Madannagaripalle,213.0,29.0,59.0,0.52
14.472,79.372,28_515_shc_2023-24.6859,Chintalapalem,75.0,69.0,195.0,0.81
14.475,79.555,28_515_shc_2023-24.5328,China Gopavaram,88.0,3.0,117.0,0.42
14.475,79.555,28_515_shc_2023-24.6155,China Gopavaram,163.0,8.0,124.0,0.47
14.478,79.618,28_515_shc_2025-26.7067,Vavileru,176.0,85.0,124.0,0.38
14.478,79.632,28_515_shc_2023-24.5554,Vavileru,63.0,3.0,98.0,0.5
14.475,79.765,28_515_shc_2023-24.6887,Prabagiripatnam,125.0,1.0,124.0,0.48
14.472,79.872,28_515_shc_2024-25.7559,Devarapalem,100.0,22.0,98.0,0.78
14.478,79.892,28_515_shc_2023-24.7160,Pottepalem,151.0,79.0,731.0,0.2
14.478,79.972,28_515_shc_2023-24.7239,Gangavaram,113.0,25.0,202.0,0.48
14.472,80.042,28_515_shc_2023-24.4989,Lebur Bit - II,151.0,73.0,137.0,0.41
14.478,80.122,28_515_shc_2023-24.6201,Indukurpet Bit - I,213.0,55.0,377.0,0.41
14.488,79.368,28_515_shc_2023-24.4969,Kulluru,251.0,36.0,91.0,0.46
14.485,79.575,28_515_shc_2023-24.5808,Chejerla,75.0,6.0,293.0,0.85
14.488,79.588,28_515_shc_2023-24.4854,Billupadu,38.0,1.0,130.0,0.63
14.485,79.955,28_515_shc_2023-24.7451,Gangavaram,201.0,23.0,117.0,0.5
14.498,79.528,28_515_shc_2023-24.6448,Nagulavellaturu,100.0,12.0,221.0,0.4
14.495,79.535,28_515_shc_2023-24.4833,Nagulavellaturu,75.0,3.0,143.0,0.63
14.492,79.542,28_515_shc_2025-26.7179,Kalayapalem,138.0,13.0,137.0,0.56
14.495,79.965,28_515_shc_2023-24.7454,Gangavaram,226.0,11.0,202.0,0.72
14.498,80.002,28_515_shc_2023-24.7249,Padugupadu,201.0,23.0,137.0,0.28
14.495,80.095,28_515_shc_2025-26.5718,Lebur Bit 閳 I,38.0,60.0,455.0,0.18
14.508,79.432,28_515_shc_2023-24.4791,Kaluvoya,163.0,14.0,72.0,1.25
14.508,79.432,28_515_shc_2023-24.4798,Kaluvoya,151.0,14.0,65.0,0.83
14.505,79.615,28_515_shc_2023-24.7108,Paderu,38.0,3.0,176.0,0.49
14.508,79.982,28_515_shc_2023-24.5999,Gangavaram,100.0,35.0,136.0,0.84
14.508,80.018,28_515_shc_2023-24.5073,Inamadugu,138.0,36.0,143.0,0.52
14.508,80.028,28_515_shc_2023-24.4886,Leguntapadu,201.0,21.0,215.0,0.31
14.508,80.038,28_515_shc_2023-24.6248,Leguntapadu,188.0,25.0,130.0,0.67
14.505,80.055,28_515_shc_2023-24.5996,Inamadugu,176.0,62.0,208.0,0.41
14.502,80.138,28_515_shc_2023-24.5351,Komarika,151.0,52.0,423.0,0.17
14.502,80.138,28_515_shc_2023-24.5878,Komarika,100.0,11.0,208.0,0.11
14.502,80.138,28_515_shc_2023-24.6042,Komarika,113.0,13.0,228.0,0.28
14.502,80.138,28_515_shc_2023-24.6206,Komarika,238.0,12.0,319.0,0.21
14.505,80.165,28_515_shc_2023-24.5117,Mypadu,151.0,62.0,156.0,0.35
14.512,79.368,28_515_shc_2023-24.5339,Kulluru,163.0,13.0,91.0,0.32
14.512,79.412,28_515_shc_2023-24.6761,Baddevolu,113.0,9.0,124.0,0.13
14.512,79.422,28_515_shc_2023-24.5440,Kesamanenipalle,63.0,56.0,247.0,0.77
14.518,79.632,28_515_shc_2024-25.5504,Paderu,100.0,21.0,533.0,0.51
14.512,79.762,28_515_shc_2023-24.6323,Thatiparthi,151.0,19.0,111.0,0.32
14.512,79.968,28_515_shc_2023-24.5740,Kovur,88.0,73.0,104.0,0.75
14.512,79.998,28_515_shc_2023-24.7479,Kovur,263.0,17.0,163.0,0.58
14.512,79.992,28_515_shc_2023-24.5825,Kovur,188.0,138.0,221.0,0.3
14.515,80.005,28_515_shc_2023-24.5555,Kovur,188.0,112.0,267.0,0.18
14.518,80.138,28_515_shc_2023-24.6777,Gangapatnam,263.0,11.0,234.0,0.68
14.528,79.522,28_515_shc_2025-26.5474,Yanamadala,100.0,3.0,150.0,0.24
14.522,79.742,28_515_shc_2023-24.6670,Veligantipalem,226.0,164.0,111.0,0.33
