Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.148,79.732,28_515_shc_2024-25.17981,Ananthamadugu,113.0,97.0,67.6,0.16
14.142,79.848,28_515_shc_2024-25.5299,Cheekavolu,238.0,164.0,155.0,0.08
14.142,79.848,28_515_shc_2024-25.5429,Cheekavolu,238.0,164.0,167.9,0.16
14.158,79.592,28_515_shc_2024-25.19955,Jorepalle,100.0,19.0,303.0,0.64
14.155,79.735,28_515_shc_2024-25.17963,Ananthamadugu,213.0,25.0,58.1,0.47
14.168,79.908,28_515_shc_2024-25.1105,Venkanapalem,88.0,164.0,239.0,0.4
14.168,79.908,28_515_shc_2024-25.9083,Venkanapalem,163.0,164.0,303.0,0.52
14.175,79.795,28_515_shc_2024-25.11690,Ramasagaram,100.0,73.0,58.1,0.59
14.175,79.795,28_515_shc_2024-25.11819,Ramasagaram,176.0,164.0,19.4,0.31
14.172,79.918,28_515_shc_2024-25.4984,Baddevolu,75.0,70.0,316.0,0.86
14.172,79.918,28_515_shc_2024-25.5087,Baddevolu,151.0,37.0,181.0,1.61
14.172,79.918,28_515_shc_2024-25.5113,Baddevolu,138.0,17.0,265.0,0.98
14.172,79.918,28_515_shc_2024-25.5572,Baddevolu,251.0,43.0,420.0,0.99
14.172,79.912,28_515_shc_2024-25.1195,Baddevolu,113.0,138.0,213.0,1.2
14.172,79.912,28_515_shc_2024-25.1199,Baddevolu,125.0,109.0,265.0,0.93
14.172,79.912,28_515_shc_2024-25.1200,Baddevolu,88.0,80.0,123.0,0.48
14.172,79.912,28_515_shc_2024-25.1201,Baddevolu,113.0,11.0,32.0,1.62
14.172,79.912,28_515_shc_2024-25.1202,Baddevolu,100.0,25.0,123.0,0.61
14.172,79.912,28_515_shc_2024-25.4649,Baddevolu,75.0,33.0,181.0,1.18
14.172,79.912,28_515_shc_2024-25.9552,Baddevolu,88.0,109.0,116.0,1.28
14.172,79.912,28_515_shc_2024-25.9558,Baddevolu,176.0,62.0,181.0,1.31
14.172,79.912,28_515_shc_2024-25.9567,Baddevolu,88.0,11.0,200.0,1.06
14.172,79.912,28_515_shc_2024-25.9588,Baddevolu,75.0,35.0,123.0,0.48
