Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.128,79.832,28_515_shc_2025-26.1918,Vemulachedu,100,10,285.5,0.27
14.128,79.832,28_515_shc_2025-26.1923,Cheekavolu,100,21.5,291.7,0.19
14.128,79.832,28_515_shc_2025-26.1925,Cheekavolu,176,33,459.3,0.18
14.128,79.832,28_515_shc_2025-26.1926,Cheekavolu,50,53.76,248.3,0.11
14.128,79.832,28_515_shc_2025-26.1927,Cheekavolu,88,58.4,198.6,0.52
14.128,79.832,28_515_shc_2025-26.8398,Vemulachedu,113,75.3,546.2,0.35
14.128,79.832,28_515_shc_2025-26.8401,Vemulachedu,138,37.6,360,0.2
14.128,79.832,28_515_shc_2025-26.8402,Vemulachedu,226,78.3,384.9,0.52
14.128,79.832,28_515_shc_2025-26.8420,Cheekavolu,100,16.1,322.8,0.2
14.128,79.832,28_515_shc_2025-26.8421,Cheekavolu,50,76,620.7,0.05
14.128,79.832,28_515_shc_2025-26.8422,Cheekavolu,88,100.6,577.3,0.16
14.128,79.832,28_515_shc_2025-26.8429,Cheekavolu,75,35.3,329,0.1
14.128,79.832,28_515_shc_2025-26.8430,Cheekavolu,151,91.4,360,0.2
14.128,79.832,28_515_shc_2025-26.8435,Cheekavolu,75,25.3,403.5,0.09
14.128,79.832,28_515_shc_2025-26.8439,Cheekavolu,50,35.3,378.6,0.13
14.148,79.712,28_515_shc_2025-26.7135,Ananthamadugu,188,1.5,322.8,0.05
14.155,79.595,28_515_shc_2025-26.2010,Sanayapalem,63,13.8,86.9,0.2
14.155,79.595,28_515_shc_2025-26.2055,Jorepalle,75,10,99.3,0.31
14.155,79.595,28_515_shc_2025-26.2284,Jorepalle,151,18.4,136.6,0.46
14.155,79.595,28_515_shc_2025-26.4324,Thatipalle,50,6.9,111.7,0.11
14.155,79.595,28_515_shc_2025-26.7077,Sanayapalem,113,4.6,173.8,0.19
14.155,79.595,28_515_shc_2025-26.9320,Sanayapalem,25,20,266.9,0.2
14.155,79.595,28_515_shc_2025-26.9407,Thatipalle,151,10.8,149,0.11
14.155,79.595,28_515_shc_2025-26.9435,Thatipalle,63,3.1,198.6,0.25
14.155,79.595,28_515_shc_2025-26.10261,Thatipalle,251,21.5,161.4,0.11
14.152,79.738,28_515_shc_2025-26.8321,Ananthamadugu,63,38.4,304.2,0.1
14.162,79.742,28_515_shc_2025-26.2164,Molakalapundla,151,2.3,322.8,0.35
14.178,79.742,28_515_shc_2025-26.1833,Ananthamadugu,25,16.8,36.6,0.18
14.178,79.742,28_515_shc_2025-26.7029,Ananthamadugu,13,6.1,105.5,0.1
14.175,79.795,28_515_shc_2025-26.5262,Ramasagaram,151,50.69,192.4,0.24
14.172,79.918,28_515_shc_2024-25.4984,Baddevolu,50,3.1,484,0.32
14.172,79.918,28_515_shc_2024-25.5113,Baddevolu,63,12.3,472,0.44
14.185,79.775,28_515_shc_2025-26.1748,Ramasagaram,50,110.6,285.5,0.29
