system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,K,N,OC,P,sample_id,.geo
587,725.5,4033.5,3294.0,849.0,1191.0,1530.5,2073.0,2544.0,2792.0,2743.5,3062.0,3146.0,329,163,0.25,4.6,588,"{""type"":""Point"",""coordinates"":[79.49126300000002,14.221374]}"
588,714.5,4396.5,3484.5,1000.5,1385.5,1893.0,2210.0,2731.5,2993.5,3167.5,3347.5,3166.0,329,163,0.25,4.6,589,"{""type"":""Point"",""coordinates"":[79.490825,14.221071000000002]}"
589,656.5,3221.5,2140.0,602.5,893.5,1025.0,1634.5,2403.0,2823.5,2928.5,3198.0,3581.0,167.6,201,0.25,20.7,590,"{""type"":""Point"",""coordinates"":[79.49334500000002,14.219931]}"
590,659.5,3059.0,2243.5,737.5,1043.0,1159.0,1538.0,2287.0,2651.0,2846.5,2952.0,3487.5,167.6,201,0.25,20.7,591,"{""type"":""Point"",""coordinates"":[79.493376,14.219760000000003]}"
591,716.0,3614.5,2995.5,1231.5,1578.5,1962.0,2097.0,2508.5,2684.0,2781.0,2971.0,3099.0,136.6,138,0.25,31.5,592,"{""type"":""Point"",""coordinates"":[79.494642,14.219775]}"
592,683.0,3268.0,2372.5,767.5,1069.5,1240.0,1713.0,2300.5,2560.5,2541.5,2855.5,3020.0,136.6,138,0.25,31.5,593,"{""type"":""Point"",""coordinates"":[79.494642,14.219320999999999]}"
593,659.0,3622.0,2709.0,787.0,1133.5,1447.5,1946.0,2438.5,2732.0,2860.0,3053.5,3038.5,372.4,113,0.64,10,594,"{""type"":""Point"",""coordinates"":[79.496878,14.217731]}"
594,659.0,3593.0,2708.0,736.5,1032.0,1363.5,1828.5,2371.0,2657.5,2779.0,2981.0,3038.5,372.4,113,0.64,10,595,"{""type"":""Point"",""coordinates"":[79.496878,14.217503999999998]}"
595,574.5,3432.0,2459.0,748.0,1111.0,1425.0,1864.0,2522.0,2904.0,3104.5,3231.0,3224.5,155.2,138,0.25,9.2,596,"{""type"":""Point"",""coordinates"":[79.500052,14.218321]}"
596,540.0,2972.5,2025.5,681.5,1033.5,1194.0,1519.0,2132.5,2387.5,2543.0,2659.5,3023.5,155.2,138,0.25,9.2,597,"{""type"":""Point"",""coordinates"":[79.500442,14.217837]}"
597,545.0,3281.5,2646.5,668.0,1004.5,1269.5,1685.5,2251.5,2525.0,2493.5,2736.5,3044.0,155.2,138,0.25,9.2,598,"{""type"":""Point"",""coordinates"":[79.499958,14.217619999999998]}"
598,540.0,2901.5,1961.0,508.0,755.5,761.5,1531.5,2384.5,2701.0,2903.5,2936.5,3023.5,155.2,138,0.25,9.2,599,"{""type"":""Point"",""coordinates"":[79.500333,14.217680000000001]}"
599,536.5,3426.5,2445.0,791.0,1161.0,1274.5,1901.0,2757.0,3306.0,3452.0,3623.0,3424.5,155.2,138,0.25,9.2,600,"{""type"":""Point"",""coordinates"":[79.500739,14.21768]}"
600,540.0,3199.0,2396.0,673.0,992.5,1306.5,1733.0,2344.5,2676.5,2600.0,2879.5,3023.5,155.2,138,0.25,9.2,601,"{""type"":""Point"",""coordinates"":[79.500145,14.217544]}"
601,698.5,3381.0,2689.0,877.0,1229.5,1531.5,1871.0,2500.0,2925.0,2886.0,3199.0,3167.5,142.8,25,0.44,9.2,602,"{""type"":""Point"",""coordinates"":[79.498191,14.216437999999998]}"
602,693.5,3529.0,2748.5,894.0,1219.0,1511.0,1925.5,2620.0,3078.5,3220.5,3399.0,3308.5,27.31,201,0.56,23,603,"{""type"":""Point"",""coordinates"":[79.497769,14.216310999999997]}"
603,698.5,3381.0,2689.0,877.5,1192.5,1460.5,1871.0,2500.0,2925.0,3009.0,3199.0,3167.5,142.8,25,0.44,9.2,604,"{""type"":""Point"",""coordinates"":[79.498113,14.216386999999997]}"
604,587.0,2963.5,2149.0,710.0,1069.0,1155.0,1707.5,2398.5,2766.5,2871.0,2979.0,3095.5,93.1,188,0.25,9.2,605,"{""type"":""Point"",""coordinates"":[79.49906700000001,14.215615000000001]}"
605,587.0,3446.5,2491.0,799.0,1211.0,1488.0,2086.5,2615.0,3017.5,3154.5,3333.0,3095.5,93.1,188,0.25,9.2,606,"{""type"":""Point"",""coordinates"":[79.499426,14.215599999999998]}"
606,587.0,2855.0,2106.5,613.0,899.0,1092.5,1604.5,2335.0,2654.5,2694.0,2919.5,3095.5,93.1,188,0.25,9.2,607,"{""type"":""Point"",""coordinates"":[79.499301,14.215448]}"
607,462.5,2370.0,1492.0,472.5,755.0,598.5,1243.0,2613.5,3014.0,3178.5,3316.0,3210.5,316,50,0.56,16.1,608,"{""type"":""Point"",""coordinates"":[79.719399,15.114087999999999]}"
608,473.0,2847.0,2026.0,754.0,1097.0,1429.0,1515.0,2258.0,2523.0,2718.0,2843.0,2871.5,35.1,38,0.51,16.1,609,"{""type"":""Point"",""coordinates"":[79.700932,15.118144]}"
609,418.0,3219.5,2181.5,616.0,955.5,1234.0,1681.0,2506.5,2852.5,3025.5,3207.0,2978.0,93.1,301,0.19,20.7,610,"{""type"":""Point"",""coordinates"":[79.623424,14.699123999999998]}"
610,560.375,4642.333333333334,3835.583333333333,620.3636363636364,1011.75,1497.25,2331.416666666667,2836.2,3087.8571428571427,3122.5,3359.958333333333,3226.1111111111113,620.7,75,0.1,6.1,611,"{""type"":""Point"",""coordinates"":[79.57392,14.188673000000001]}"
611,528.1333333333333,4272.142857142857,3367.25,690.25,1043.2857142857142,1705.3333333333333,2068.8,2659.770833333333,2921.8333333333335,3015.5,3234.0,3213.8571428571427,620.7,75,0.1,6.1,612,"{""type"":""Point"",""coordinates"":[79.574253,14.188494]}"
612,424.25,3353.0,2493.25,580.3333333333334,927.3,1053.5,1700.6666666666667,2479.75,2734.666666666667,2799.0,3032.0,2964.5714285714284,620.7,163,0.43,4.6,613,"{""type"":""Point"",""coordinates"":[79.576322,14.195327999999998]}"
613,429.3333333333333,2967.0,2097.25,471.6,809.1428571428571,750.625,1450.75,2491.9,2758.75,2848.0,3047.6666666666665,3030.5,620.7,163,0.43,4.6,614,"{""type"":""Point"",""coordinates"":[79.576156,14.195041]}"
614,599.875,3255.0,2711.0,945.0,1293.5,1427.1666666666667,1678.3333333333333,2422.5,2701.0,2638.0,2899.0,2953.75,620.7,13,0.11,1.5,615,"{""type"":""Point"",""coordinates"":[79.579758,14.195183999999998]}"
615,674.0,3223.0,2825.0,1008.2,1275.0,1430.0,1813.4,2314.5,2544.6666666666665,2449.4,2734.5,2906.3333333333335,620.7,13,0.11,1.5,616,"{""type"":""Point"",""coordinates"":[79.579574,14.195023]}"
616,622.4375,4309.5,3429.5,841.5,1234.6666666666667,1692.0,2118.5,2521.5,2742.5,2861.0,3079.0,3084.75,620.7,25,0.63,9.2,617,"{""type"":""Point"",""coordinates"":[79.577172,14.193734000000001]}"
617,611.8333333333334,3891.0,3121.6666666666665,786.375,1135.0,1454.0,1890.857142857143,2480.4,2741.5,2826.25,3053.0,3081.25,620.7,151,0.2,9.2,618,"{""type"":""Point"",""coordinates"":[79.579555,14.193824000000001]}"
618,545.8461538461538,3110.5,2350.5,474.1333333333333,673.0588235294117,670.4,1430.6363636363637,2338.3333333333335,2733.0,2587.25,3031.3333333333335,3173.2,620.7,151,0.2,9.2,619,"{""type"":""Point"",""coordinates"":[79.579777,14.193627]}"
619,536.8,3472.2,2656.333333333333,668.4444444444445,992.5,1246.8,1761.6666666666667,2599.8571428571427,2880.4375,2834.8,3172.4285714285716,3103.875,620.7,188,0.2,13.1,620,"{""type"":""Point"",""coordinates"":[79.578336,14.193376]}"
620,363.54545454545456,2633.5,1866.5,432.90909090909093,718.9375,588.5,1293.0,2371.5,2738.0,2982.0,2996.5,3075.5,620.7,188,0.2,13.1,621,"{""type"":""Point"",""coordinates"":[79.577393,14.192589]}"
621,413.95454545454544,2907.5,2133.0,539.6470588235294,844.8,905.1428571428571,1516.25,2670.75,2981.5,3052.75,3257.25,3120.3636363636365,620.7,188,0.2,13.1,622,"{""type"":""Point"",""coordinates"":[79.578206,14.192625000000001]}"
622,475.6190476190476,3312.3333333333335,2710.25,602.4666666666667,990.2222222222222,1174.6363636363637,1687.4545454545455,2283.4,2485.0,2596.25,2673.6666666666665,2730.6666666666665,620.7,188,0.2,13.1,623,"{""type"":""Point"",""coordinates"":[79.57926,14.192785999999996]}"
623,475.6190476190476,3120.3333333333335,2490.0,541.5,923.0714285714286,1055.0,1504.0833333333333,2305.166666666667,2575.3333333333335,2595.75,2764.0,2730.6666666666665,620.7,188,0.56,0.8,624,"{""type"":""Point"",""coordinates"":[79.579611,14.192911]}"
624,475.6190476190476,3495.6,2807.583333333333,540.9411764705883,845.5555555555555,1036.5,1627.0,2266.0,2524.666666666667,2756.625,2760.166666666667,2730.6666666666665,620.7,188,0.56,0.8,625,"{""type"":""Point"",""coordinates"":[79.579758,14.192534999999998]}"
625,419.0,3240.0,2673.5,574.5,939.5,1433.0,1904.0,2634.5,2796.0,2927.0,2964.5,2629.5,133.4,13,0.47,81.4,626,"{""type"":""Point"",""coordinates"":[79.686924,15.067378000000001]}"
626,430.0,3100.0,2120.0,663.0,958.0,1211.0,1658.0,2344.0,2700.5,2932.5,3053.0,2701.5,98.3,50,0.5,80.6,627,"{""type"":""Point"",""coordinates"":[79.672787,15.068238999999997]}"
627,438.5,3242.5,2596.5,554.5,901.0,1484.0,1752.0,2162.0,2430.5,2431.5,2678.0,2795.0,491.6,113,0.19,27.6,628,"{""type"":""Point"",""coordinates"":[79.673806,15.064919]}"
628,388.5,2690.5,2019.5,453.5,724.0,984.0,1540.0,2313.0,2541.0,2420.5,2735.0,2779.0,632.1,25,0.25,20.7,629,"{""type"":""Point"",""coordinates"":[79.671004,15.061723]}"
629,405.5,3250.0,2474.5,517.0,922.5,1220.0,1875.0,2538.0,2685.0,2627.0,2816.5,2793.0,463.5,63,0.19,14.6,630,"{""type"":""Point"",""coordinates"":[79.667311,15.061845999999996]}"
630,391.0,3184.5,2342.0,497.0,814.0,1171.0,1682.5,2257.5,2552.5,2525.5,2771.0,2799.5,196.6,151,0.39,51.46,631,"{""type"":""Point"",""coordinates"":[79.665019,15.064919]}"
631,446.5,3268.5,2332.5,599.5,867.0,1207.0,1733.0,2285.0,2543.0,2593.5,2816.5,2642.5,98.3,88,0.15,76.8,632,"{""type"":""Point"",""coordinates"":[79.672031,15.05556]}"
632,382.0,2673.5,1861.5,508.0,750.5,878.5,1422.0,2329.0,2682.0,2751.0,2977.5,2938.5,124.1,289,0.14,27.6,633,"{""type"":""Point"",""coordinates"":[79.589474,14.71921]}"
633,679.5,3306.5,2450.0,675.5,966.5,1313.0,1759.0,2269.0,2540.5,2381.0,2802.0,2916.0,111.7,426,0.12,26.1,634,"{""type"":""Point"",""coordinates"":[79.603583,14.716609000000002]}"
634,768.5,3254.5,2824.0,1196.0,1579.0,1926.0,2183.0,2428.0,2604.0,2695.5,2837.0,2771.0,245.8,100,0.19,13.8,635,"{""type"":""Point"",""coordinates"":[79.713158,15.108433999999999]}"
635,598.0,2564.5,1693.0,745.5,1072.0,1118.0,1794.0,2665.0,3193.0,3208.0,3459.0,3528.0,192.4,151,0.24,50.69,636,"{""type"":""Point"",""coordinates"":[79.795675,14.174629]}"
636,440.25,2732.5,1992.0,667.5,969.0,1119.0,1516.0,2531.0,2886.0,2903.0,3134.0,3156.5,285.5,50,0.29,110.6,637,"{""type"":""Point"",""coordinates"":[79.775135,14.185148]}"
637,518.1428571428571,2129.0,1576.0,644.6,873.25,965.75,1128.5,2120.5,2565.6666666666665,2518.0,2791.0,2471.75,242.1,2.1,0.49,139.8,638,"{""type"":""Point"",""coordinates"":[79.773062,14.193934999999998]}"
638,421.8888888888889,2204.0,1291.5,444.6666666666667,691.5,548.25,1191.0,2587.0,3066.6666666666665,3024.0,3320.5,3398.75,68.3,176,0.34,98.3,639,"{""type"":""Point"",""coordinates"":[79.772705,14.192488]}"
639,505.0,2757.0,1900.5,599.6666666666666,903.0,843.25,1541.0,2536.75,2884.0,3083.0,3111.0,3034.3333333333335,68.3,176,0.34,98.3,640,"{""type"":""Point"",""coordinates"":[79.77253300000001,14.191628]}"
640,429.1,2497.0,1782.5,527.3636363636364,811.2,846.8333333333334,1391.3333333333333,2388.5,2732.0,2908.0,2951.25,2918.0,409.7,125,0.28,21.5,641,"{""type"":""Point"",""coordinates"":[79.783998,14.200517999999997]}"
641,494.85714285714283,2307.0,1556.6666666666667,559.5714285714286,779.5,789.6,1290.6666666666667,2322.25,2728.0,2752.0,3016.0,3030.0,446.9,138,0.33,116,642,"{""type"":""Point"",""coordinates"":[79.784397,14.198978]}"
642,494.85714285714283,2307.0,1556.6666666666667,592.0,814.8181818181819,845.1428571428571,1290.6666666666667,2322.25,2728.0,2775.5,3016.0,3030.0,446.9,138,0.33,116,643,"{""type"":""Point"",""coordinates"":[79.784393,14.198907]}"
643,494.85714285714283,2307.0,1556.6666666666667,562.0,852.1538461538462,912.2,1290.6666666666667,2322.25,2728.0,2834.0,3016.0,3030.0,446.9,138,0.33,116,644,"{""type"":""Point"",""coordinates"":[79.784478,14.198919]}"
644,651.375,2923.0,2345.6666666666665,1124.6666666666667,1386.0,1558.3333333333333,1640.75,2520.5,2823.0,2789.0,2995.0,2957.3333333333335,192.4,113,0.3,90.6,645,"{""type"":""Point"",""coordinates"":[79.787029,14.189895999999997]}"
645,687.1111111111111,2889.0,1927.6,526.2857142857143,751.25,813.2,1452.6,2410.8,2790.0,2826.6,3126.0,3097.2727272727275,235.9,50,0.23,112.9,646,"{""type"":""Point"",""coordinates"":[79.784149,14.193454999999998]}"
646,687.1111111111111,2889.0,1927.6,559.9166666666666,812.9090909090909,910.625,1452.6,2410.8,2790.0,2835.6,3126.0,3097.2727272727275,235.9,50,0.23,112.9,647,"{""type"":""Point"",""coordinates"":[79.784167,14.193304999999999]}"
