Target,PLSR (R²),PLSR (RMSE),Ridge (R²),Ridge (RMSE),ElasticNet (R²),ElasticNet (RMSE)
Nitrogen (N),0.028466159089547395,76.62797843217815,0.03336389615003412,76.42803363046312,0.014448864535450912,77.1845105251637
Phosphorus (P_log),0.10415173397460434,1.003915442581049,0.10503723232079969,1.0034058592886672,0.003243020237215144,1.059159714838162
Potassium (K_log),0.004822583469886688,0.9299232684433981,0.0066653927884800625,0.9290329448089834,-0.017053408510671986,0.9400398767330007
Organic Carbon (OC),-0.031458589643154046,0.22583701987036595,-0.018300715614429964,0.22451482186967495,-0.007332414435736778,0.2238470815881267
