PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15
6.552903185237269,2.5672190738503358,2.4869001271198226,0.40813624148174277,2.3078308596578605,-0.7151902391447966,0.1398570763039762,-0.7118079351813654,-0.9882603407169721,-0.17670900938487014,1.655574727773056,-0.7577792568257313,0.06735776879626056,0.5821465652767603,-0.7263729642961314
0.6424599807190782,-1.250327778038221,-2.6778581696087875,-1.3231645213005137,2.8895255464670164,-1.4989732525659523,1.1120816306818004,2.0945012596043977,0.6556332243894517,0.5578680460881922,0.22783599972472635,0.27693616518896685,-1.6746739512477078,1.2064855940430563,1.3320352906673851
1.7211289596064534,-1.1686976663405995,-1.6935654091270098,-2.451718075959668,2.0847554845212977,-1.4351506722892795,-0.8176876444854586,-0.615856498883687,0.7506515507156398,0.09061165285063855,-0.36586306753139125,1.137297026004144,1.2400539406916142,0.31052945188723696,0.35147606725467456
1.6595219770264615,0.6874647287697938,0.9366601184637291,-0.8213695719323134,-1.0205524228846599,-1.8819244489099127,3.800279300873452,0.09732975196818956,0.29059238472888466,-0.8472865640176883,-0.5471932173163419,0.5503457583557035,1.4449347364110405,-0.1574229029143826,0.36465761242923567
-2.805667087153124,3.6309849624427692,-0.3420497003464107,-0.16462706005496408,-0.15807543195635015,1.2959165509483466,-0.11831792016373742,-0.9013991609162142,-1.8472920914639728,-0.685260216514144,-0.6084190937642616,-1.1298471032123634,-0.2624277950799404,0.32172157689837566,-0.33729765027809866
1.9621125161770638,4.064627572898563,-3.7979293682807658,0.4792899936860261,0.3430949682234914,-1.5635555488278305,-0.09305648981989069,1.2658715323019465,-0.013365549672358689,0.5775608996627524,-0.5631583325603617,-0.6955357521458565,-1.0014352497804928,-0.5378861350176483,-0.5436647249147286
-2.4978195888975194,6.612155272344632,1.422024337272734,-2.3714144195604145,-0.45108362801230734,1.6036240788145737,-0.23976599119767975,-0.7332474233573935,1.149707125410096,-0.43602163035995656,-1.2183266121493814,-0.9262217860792693,-1.1861950386895215,-1.0697609823446206,-0.5368272782513458
-5.74604471871025,1.2758423354587838,-0.4405852559038576,0.5277029858365303,-0.6341494415226302,1.1872251804125364,0.35949274170708373,0.8641648949377911,-1.4267385572932318,-0.8533046349050509,-0.11667369592021967,-1.5724975359285898,-0.3472325729772729,-0.7287716935709391,-1.2450801961202103
-1.6013586027481208,-1.5143698803084378,1.6371897202944101,-0.4251110206802951,-0.7161688648829307,-1.8861108520724943,3.796892348553427,-2.287155883779129,-0.3544888397167219,-0.03024675737299998,-0.009738142167232977,0.14994193969103728,0.7936685883362198,-1.151485597667059,0.048407657399544814
-1.8506616431435918,0.03133131871823629,2.1684415086955413,-2.1067622181503656,0.775872257115984,-0.631756287513624,1.0610542764947541,-0.1345455320073241,0.7804798863956354,-1.8866743303019364,0.32105732416372834,-0.5339794273952608,1.1303143142651746,-0.4590150814452245,-0.5603857635946096
