N,P,K,OC
125.0,1.5,167.6,0.09
125.0,1.5,167.6,0.09
125.0,1.5,167.6,0.09
125.0,1.5,167.6,0.09
50.0,4.6,229.7,0.24
50.0,4.6,229.7,0.24
50.0,4.6,229.7,0.24
50.0,4.6,229.7,0.24
176.0,2.3,155.2,0.31
201.0,10.0,186.2,0.29
201.0,10.0,186.2,0.29
201.0,10.0,186.2,0.29
201.0,10.0,186.2,0.29
201.0,10.0,186.2,0.29
201.0,10.0,186.2,0.29
201.0,10.0,186.2,0.29
201.0,10.0,186.2,0.29
201.0,10.0,186.2,0.29
201.0,10.0,186.2,0.29
201.0,10.0,186.2,0.29
201.0,10.0,186.2,0.29
213.0,8.4,478.0,0.19
238.0,1.5,596.0,0.13
176.0,16.1,602.0,0.13
151.0,10.0,130.4,0.08
151.0,10.0,130.4,0.08
151.0,10.0,130.4,0.08
151.0,10.0,130.4,0.08
163.0,11.5,99.3,0.06
163.0,11.5,99.3,0.06
151.0,14.16,111.7,0.42
151.0,14.16,111.7,0.42
138.0,18.4,434.5,0.5
176.0,9.2,428.3,1.4
238.0,7.7,273.1,0.1
113.0,5.4,204.8,0.55
113.0,6.9,322.8,0.46
238.0,10.0,471.8,0.06
88.0,1.5,285.5,0.54
176.0,3.1,211.0,0.55
201.0,2.8,99.3,0.35
138.0,6.1,409.7,0.3
88.0,1.5,285.5,0.54
238.0,10.0,471.8,0.06
38.0,4.6,111.7,0.1
151.0,5.4,173.8,0.43
151.0,6.1,285.5,0.19
125.0,0.8,446.9,0.54
163.0,4.6,446.9,0.43
138.0,6.1,453.1,0.53
163.0,6.1,105.5,1.21
176.0,9.2,428.3,1.4
188.0,7.7,260.7,0.44
88.0,45.31,86.9,0.27
100.0,16.9,248.3,0.39
63.0,0.8,198.6,0.35
25.0,26.1,149.0,0.41
138.0,5.4,316.6,0.36
138.0,5.4,316.6,0.36
25.0,50.69,260.7,0.15
25.0,26.1,149.0,0.41
25.0,50.69,260.7,0.15
13.0,36.1,130.4,0.24
113.0,11.5,12.4,0.44
151.0,31.5,397.3,0.15
100.0,22.3,155.2,0.39
50.0,16.9,111.7,0.53
100.0,22.3,155.2,0.39
100.0,59.1,62.1,0.21
176.0,5.4,211.0,0.45
38.0,9.2,117.9,0.24
50.0,16.9,111.7,0.53
38.0,11.5,130.4,0.27
25.0,1.5,147.5,0.36
113.0,13.1,316.0,0.56
138.0,37.6,182.6,0.28
151.0,63.0,259.9,0.28
163.0,20.6,70.2,0.57
