N,P,K,OC
113.0,79.1,589.7,0.18
50.0,75.3,397.3,0.25
113.0,23.8,463.5,0.33
138.0,55.3,403.5,0.1
138.0,55.3,403.5,0.1
63.0,75.3,182.6,0.21
213.0,24.6,147.5,0.38
13.0,6.1,161.0,0.45
75.0,1.5,62.0,0.44
63.0,13.8,199.0,0.09
151.0,9.2,111.7,0.3
88.0,16.9,192.4,0.26
100.0,7.7,142.8,0.23
100.0,7.7,142.8,0.23
113.0,3.8,24.8,0.21
100.0,7.7,242.0,0.16
100.0,7.7,242.0,0.16
100.0,7.7,242.0,0.16
38.0,19.2,621.0,0.21
50.0,2.3,254.0,0.05
50.0,2.3,254.0,0.05
151.0,16.1,80.7,0.21
100.0,4.6,304.2,0.09
100.0,4.6,304.2,0.09
100.0,4.6,304.2,0.09
100.0,6.1,155.2,0.11
125.0,0.8,279.3,0.21
25.0,5.4,99.3,0.25
25.0,5.4,99.3,0.25
63.0,15.4,428.3,0.05
50.0,34.6,105.5,0.22
63.0,154.0,428.3,0.05
88.0,544.0,347.6,0.27
75.0,37.6,192.4,0.23
75.0,37.6,192.4,0.23
75.0,37.6,192.4,0.23
13.0,3.8,217.3,0.2
13.0,3.8,217.3,0.2
100.0,23.0,167.6,0.41
50.0,24.6,31.0,0.13
100.0,23.8,130.4,0.21
63.0,13.1,484.2,0.42
