Feature,RFE_Rank
Latitude,1
Longitude,2
VPD_kpa,3
Clay_Fraction_g_kg,4
B9,5
PET_mm,6
OC_Index,7
Sand_Fraction_g_kg,8
B1,9
Silt_Fraction_g_kg,10
Soil_Temp_0_7cm_K,11
B11,12
Cumulative_Integral_NDVI,13
TWI,14
Elevation_m,15
Clay_Ratio,16
B3,17
B8,18
BSI,19
B6,20
B5,21
Terrain_Curvature,22
B8A,23
B2,24
LST_K,25
B12,26
Aspect_Sin,27
EVI,28
NDRE,29
Aspect_Cos,30
B7,31
B4,32
NDVI,33
Soil_Moisture_0_7cm,34
Hillshade,35
Precipitation_Mean_m,36
SAVI,37
Slope_deg,38
Aridity_Index,39
