Actual_ET,Aspect_deg,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Clay_Fraction_g_kg,Climate_Water_Deficit,EVI,Elevation_m,Feature_ID,Hillshade,K,LST_K,Latitude,Longitude,N,NDRE,NDVI,OC,P,Potential_ET,Precipitation_Mean_m,SAVI,SWIR_Ratio,Sand_Fraction_g_kg,Silt_Fraction_g_kg,Slope_deg,Soil_Moisture_0_7cm,Soil_Temp_0_7cm_K,Village
793.4666666666667,180,0.04405000060796738,0.21170000731945038,0.13259999454021454,0.049800001084804535,0.06880000233650208,0.07824999839067459,0.11685000360012054,0.17315000295639038,0.19699999690055847,0.20260000228881836,0.22849999368190765,0.22920000553131104,312,686.6,0.23939243297143117,26,28_515_shc_2023-24.4875,180,180.0,302.24914338853625,14.115,79.695,138,0.26843011379241943,0.4427630603313446,0.51,48,1480.0666666666666,0.001189832778534979,0.2388743109238679,1.0449161529541016,384,303,1,0.2123836941189236,303.0087657504612,Nalabotlapalle
791.7333333333333,296,0.04280000180006027,0.22014999389648438,0.11235000193119049,0.048900000751018524,0.07485000044107437,0.052400000393390656,0.11635000258684158,0.2521499991416931,0.29269999265670776,0.29580000042915344,0.3181999921798706,0.29875001311302185,314,682.0666666666667,0.48936426995917714,22,28_515_shc_2023-24.6380,186,33.0,302.24914338853625,14.14,79.72,75,0.43539971113204956,0.6990235447883606,0.18,6,1473.8666666666666,0.001189832778534979,0.4304409333878655,0.7442528605461121,358,327,2,0.2123836941189236,303.0087657504612,Cheekavolu
788.2666666666667,90,0.05445000156760216,0.24469999969005585,0.1700499951839447,0.062049999833106995,0.08889999985694885,0.09080000221729279,0.13850000500679016,0.23064999282360077,0.26214998960494995,0.24650000035762787,0.2874000072479248,0.27344998717308044,319,687.8,0.2935686339520143,33,28_515_shc_2023-24.6947,177,65.0,302.519694603814,14.152696,79.703033,364,0.2805194556713104,0.46160686016082764,0.54,9,1476.0,0.001166692237567594,0.2789322781467505,0.9926977753639221,363,318,1,0.22055401272243924,303.28910429212783,Lingasamudram
782.6666666666666,116,0.048500001430511475,0.25600001215934753,0.1639000028371811,0.06360000371932983,0.09380000084638596,0.08699999749660492,0.13580000400543213,0.2653000056743622,0.3125,0.31439998745918274,0.3391000032424927,0.357699990272522,331,694.3333333333334,0.4181992041328286,58,28_515_shc_2023-24.5135,174,377.0,302.38134282430013,14.155,79.595,201,0.3967125415802002,0.566517174243927,0.8,14,1477.1333333333334,0.0010901506561695109,0.3784113497190674,0.8142494559288025,396,273,2,0.20477434794108074,303.14018393622507,Jorepalle
791.7333333333333,0,0.053449999541044235,0.28139999508857727,0.17170000076293945,0.06080000102519989,0.08524999767541885,0.08169999718666077,0.1359499990940094,0.226950004696846,0.2590999901294708,0.2660999894142151,0.28734999895095825,0.28189998865127563,305,682.0666666666667,0.354533563817926,24,28_515_shc_2023-24.6396,180,338.0,302.519694603814,14.16,79.725,125,0.3237159550189972,0.5301897525787354,0.81,13,1473.8666666666666,0.001166692237567594,0.32625618390289995,1.057497262954712,368,327,0,0.22055401272243924,303.28910429212783,Molakalapundla
791.7333333333333,180,0.050850000232458115,0.2138500064611435,0.12620000541210175,0.06480000168085098,0.0917000025510788,0.09345000237226486,0.16134999692440033,0.2829500138759613,0.35214999318122864,0.36559998989105225,0.38374999165534973,0.3758000135421753,313,682.0666666666667,0.4723842066261258,24,28_515_shc_2023-24.5146,180,143.0,302.519694603814,14.16,79.735,125,0.3876079320907593,0.5928547978401184,0.78,40,1473.8666666666666,0.001166692237567594,0.42565558059678155,0.5849289298057556,348,339,1,0.22055401272243924,303.28910429212783,Molakalapundla
786.6,90,0.03669999912381172,0.23119999468326569,0.14820000529289246,0.04659999907016754,0.07329999655485153,0.06859999895095825,0.1234000027179718,0.24560000002384186,0.28450000286102295,0.28540000319480896,0.314300000667572,0.3091999888420105,351,688.8666666666667,0.4022263518005792,54,28_515_shc_2023-24.5913,168,650.0,302.38134282430013,14.165,79.625,263,0.39628180861473083,0.6124293804168701,0.82,28,1475.6,0.0010901506561695109,0.38079625942467904,0.8100910782814026,405,245,4,0.20477434794108074,303.14018393622507,Kommipadu
786.6,134,0.053050000220537186,0.38370001316070557,0.2868500053882599,0.0763000026345253,0.11400000005960464,0.16369999945163727,0.1977500021457672,0.24484999477863312,0.2709999978542328,0.30070000886917114,0.29809999465942383,0.29789999127388,325,688.8666666666667,0.2002163074754572,65,28_515_shc_2023-24.6061,177,150.0,302.38134282430013,14.165,79.65,113,0.2065402865409851,0.29500430822372437,0.33,13,1475.6,0.0010901506561695109,0.21308586930034645,1.2760226726531982,370,305,1,0.20477434794108074,303.14018393622507,Molakalapundla
791.7333333333333,90,0.04385000094771385,0.26124998927116394,0.16410000622272491,0.05115000158548355,0.0726500004529953,0.08560000360012054,0.1375499963760376,0.21379999816417694,0.24735000729560852,0.2524999976158142,0.2810499966144562,0.2768000066280365,316,682.0666666666667,0.301813763596683,30,28_515_shc_2023-24.7093,174,137.0,302.519694603814,14.165,79.73,63,0.2947058081626892,0.4936409294605255,0.48,8,1473.8666666666666,0.001166692237567594,0.29871135981425484,1.0346534252166748,360,325,2,0.22055401272243924,303.28910429212783,Molakalapundla
794.2,0,0.046950001269578934,0.17135000228881836,0.08739999681711197,0.05525000020861626,0.08214999735355377,0.05694999918341637,0.12780000269412994,0.2672500014305115,0.35339999198913574,0.3628000020980835,0.3772999942302704,0.3549500107765198,344,682.9333333333333,0.5926751360327963,14,28_515_shc_2023-24.5493,180,552.0,302.28411517673067,14.165,79.79,314,0.4790053069591522,0.7286480069160461,1.01,40,1477.0,0.0012467846971224816,0.4988040268907675,0.472298800945282,308,349,0,0.2677152845594618,303.08083606296117,Ramasagaram
794.1333333333333,46,0.04495000094175339,0.15850000083446503,0.07599999755620956,0.05480000004172325,0.07959999889135361,0.0568000003695488,0.11060000211000443,0.2685999870300293,0.33899998664855957,0.33880001306533813,0.3702999949455261,0.36739999055862427,324,684.3333333333334,0.5557307452470024,10,28_515_shc_2023-24.4859,177,650.0,302.28411517673067,14.165,79.835,125,0.5077881813049316,0.712841272354126,0.95,106,1478.6666666666667,0.0012467846971224816,0.4723090807260662,0.46782761812210083,349,326,1,0.2677152845594618,303.08083606296117,Ramasagaram
777.0,207,0.06390000134706497,0.32899999618530273,0.2891499996185303,0.12399999797344208,0.1509000062942505,0.1817999929189682,0.18915000557899475,0.22634999454021454,0.2615000009536743,0.2809000015258789,0.28244999051094055,0.28095000982284546,342,694.2,0.171845755666378,68,28_515_shc_2023-24.5678,183,292.0,302.38134282430013,14.171091,79.555352,125,0.19519199430942535,0.214177668094635,0.62,38,1471.3333333333333,0.0010901506561695109,0.15440948765776916,1.1712353229522705,408,250,2,0.20477434794108074,303.14018393622507,Adurupalle
789.4,0,0.0523499995470047,0.2786000072956085,0.19030000269412994,0.06650000065565109,0.09790000319480896,0.10679999738931656,0.1603499948978424,0.24729999899864197,0.29864999651908875,0.3077999949455261,0.32339999079704285,0.32795000076293945,329,681.3333333333334,0.34658757993973754,17,28_515_shc_2023-24.6230,180,169.0,302.28411517673067,14.172,79.752,251,0.314963161945343,0.484804630279541,0.4,23,1470.6666666666667,0.0012467846971224816,0.3296523057742741,0.9051332473754883,330,341,0,0.2677152845594618,303.08083606296117,Molakalapundla
789.4,0,0.0523499995470047,0.2786000072956085,0.19030000269412994,0.06650000065565109,0.09790000319480896,0.10679999738931656,0.1603499948978424,0.24729999899864197,0.29864999651908875,0.3077999949455261,0.32339999079704285,0.32795000076293945,329,681.3333333333334,0.34658757993973754,17,28_515_shc_2023-24.7092,180,195.0,302.28411517673067,14.172,79.752,188,0.314963161945343,0.484804630279541,0.85,1,1470.6666666666667,0.0012467846971224816,0.3296523057742741,0.9051332473754883,330,341,0,0.2677152845594618,303.08083606296117,Molakalapundla
